 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Cash flow rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Debt ratio %, Net worth/Assets, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Operating profit per person, Working Capital to Total Assets, Cash/Total Assets, Current Liability to Assets, Operating Funds to Liability, Retained Earnings to Total Assets, Total expense/Assets, CFO to Assets, Current Liability to Current Assets, Net Income to Total Assets, Gross Profit to Sales, Equity to Liability,Bankrupt?
-2.2179093472520144,-2.045797776379817,-2.400361004332964,-0.3833337036882002,-0.38263795936266926,-0.545256314006656,-0.829388169244788,-1.2792473500227672,-1.2752282273784676,-1.2761466133220607,-1.79410560084612,-0.6710811712582722,-0.4713714715230644,-1.3751499620835452,1.7508450138266205,-1.7508450138266232,-0.4712747632660581,-1.4604945953516182,-0.23712348298321384,-2.393729120714277,-0.8618201186129829,1.1262670615796633,-0.5637517251377464,-1.2325935013357425,1.3140269485786504,-1.2472308363600322,2.8124930541394173,-2.25431697090356,-0.3834652193876046,-0.6220672915830735,1
-0.6738281923245729,-0.3110678609773047,-0.5984496916581329,0.13506792299939108,0.13630739509188575,-0.3266315040158665,-0.829388169244788,-0.25187752402220787,-0.25042872994295035,-0.251549855715993,-0.5973786426619759,-0.30353338422276305,-0.5500580364996753,-0.43531171333035423,1.0757267270928283,-1.0757267270928317,-0.5483617590315766,-0.44679301503098634,-0.2775572258201983,-1.0671325325549315,-0.7838734655931986,-0.670362602363922,-0.36199045141119013,-0.14347417042041144,-0.1351260975884634,-0.44937602191664044,0.527484947992848,-0.30903349088175425,0.13525331290279657,-0.5355733663626938,1
-1.303671910047318,-0.9084197810799847,-1.3199095997720325,-0.38375932078725744,-0.388176784984911,-0.52309839407519,-0.829388169244788,-0.3818764086389982,-0.38010237642436057,0.09082154240298138,-1.4501531971874675,-0.9301722342504924,-0.5996014292627282,-1.2525623644200794,1.7497235548785548,-1.749723554878559,-0.5996553873926606,-1.126595307295303,-0.5716522271386159,0.26040179225162685,-0.8841086362349374,0.1489329992151133,-0.48646181856007364,-0.9713267533516147,-0.28720420195370844,-0.9379791369619604,-0.19972088055536627,-0.8205095831466013,-0.3836984749556517,-0.6219598448780649,1
-1.735886093892775,-1.6362087685764368,-1.5563398347202075,-1.4414178120177146,-1.4418318437419964,-0.10131007822358391,-0.829388169244788,-1.0924528362044836,-1.0889010460265554,-1.089856293757321,-1.0550343202573347,-0.10268759895745985,-1.1212642118854568,-1.0777615307147905,0.7101311100243478,-0.7101311100243691,-1.1249021418101648,-1.1420286566332052,-0.6777476036424366,-1.4965433072618248,-0.7558435359165767,0.15992142637732173,-0.14544379920753012,-1.088733954685408,-0.18503218292104903,0.1825589748611369,1.1588988073266697,-1.6912221724000873,-1.441525631792751,-0.4718256606833823,1
-0.6617776109905837,-0.30774462359148247,-0.5080498959426545,-0.5412376474493681,-0.5407075213517054,-0.2750281704865154,-0.829388169244788,-0.6936213067005901,-0.6910673344914002,-0.6921012871191022,-0.48936053242206695,-0.2452881064958427,-0.4363996648667888,-0.48071452727978814,-0.12367361786032935,0.12367361786030825,-0.4337571379505222,-0.49554280103480985,-0.19254268959887091,-1.0550828357331505,-0.7895237895955928,0.3882191007292552,-0.2614697183922287,-0.8169264177115947,-0.1031007353504411,-0.25524485177533685,0.5258667281172673,-0.31600767260487683,-0.5412546648723158,-0.24171453403342175,1
-1.9198583022582172,-2.186204555931074,-2.1830538030938365,-1.049850080857967,-1.0451667164865281,-0.09215147131854755,-0.829388169244788,-1.0508027081233817,-1.047355120454847,-1.0483185873678877,-1.6349210173346715,0.1082004755710609,-1.1096069430000328,-1.372879821386083,1.2473099461464223,-1.2473099461464257,-1.1114192452123914,-1.4582898311604937,-0.7060857823828682,-2.1574321408098545,-0.8722278780953838,0.9610855773350274,-0.09289781787379324,-1.2397721869194862,0.40187161398978505,0.4914084195494994,2.2052599178578753,-2.4136269172200215,-1.0496940340646903,-0.5607648735874476,1
-1.8829031861673367,-1.7209513219150696,-1.9066390431176694,0.7087997725682884,0.7106410057690483,-0.37636372430659704,-0.829388169244788,-0.9536190759341424,-0.9504146274541926,-0.9513972724592082,-2.024354730568007,-0.38588015618155996,-0.32856992767661597,-1.6702682527548378,1.908970725503464,-1.9089707255034678,-0.3279457103027988,-1.7794504816680472,-0.22917496943408067,-1.4345233569958393,-0.7261253365854209,0.5020787542038276,-0.3911686146499516,-0.9111583625093265,2.343489473250177,-0.5594976299180888,0.9486529491099478,-1.7640087635865271,0.708842761756378,-0.6381773790073216,0
0.052420176070023784,0.18741774689697602,0.08911029306246401,-0.36673463682379986,-0.36729967302412797,-0.023905077929557254,0.30727764430697574,-0.40964316069306694,-0.4077996601388336,-0.4088896526456831,-0.10845456473400397,0.03589599287559185,-0.15371089439527108,-0.11749201568434481,-0.09227276731456638,0.09227276731456328,-0.15090941584510068,-0.10382969641118256,-0.1286089936601013,-0.2899226986395228,-0.7862564926485766,-0.07220660287092119,-0.009030941959788003,0.02803166371147252,-0.13636776300613884,0.2847812786180452,-0.04232031305225877,0.1882052216573496,-0.36657174318308694,-0.2537450102673356,0
-0.2745522641253223,-0.20555507397724496,-0.1673122043997151,-0.25607419106129925,-0.2552449700507748,-0.2517869744694766,-0.7870460901272532,-0.1938197697273289,-0.19251622763086246,-0.19364881044586413,-0.3131204578201353,-0.26738114287500014,-0.49760032651526903,-0.33769566333909756,-1.0124298342000733,1.0124298342000697,-0.4956025984316022,-0.3429241242489922,-0.2668440119061284,-0.006564722068030851,0.15149813807789775,-0.6485494276442184,-0.2386478692931566,0.01828686381886479,0.02578433452550735,-0.3310030754953142,-0.3176113344810811,-0.10198384218919825,-0.25589087806153904,0.36488948460998966,0
-0.15645656705230976,-0.11748928325278826,-0.1725275772294469,-0.5161262386032718,-0.5155697742968646,0.18457632871477858,2.000960809008381,-0.395759784666033,-0.3939510182815975,-0.39504375051587204,-0.3301759489106485,0.3793422856792212,0.026976773328813347,-0.23326919125539247,0.15052309494103563,-0.15052309494103977,0.03228211401590829,-0.22925628150643476,-0.13137369402500584,0.19594726959777398,-0.8282207761849613,0.07736736226224529,0.20530991634072618,0.13915555623499215,0.24706286469076824,0.8834444602580279,-0.19492836445444844,-0.08841138735226016,-0.5162398992008069,-0.33548240478740565,0
