Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Cash flow rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Debt ratio %, Net worth/Assets, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Operating profit per person, Working Capital to Total Assets, Cash/Total Assets, Current Liability to Assets, Operating Funds to Liability, Retained Earnings to Total Assets, Total expense/Assets, CFO to Assets, Current Liability to Current Assets, Net Income to Total Assets, Gross Profit to Sales, Equity to Liability
1,0.370594257,0.424389446,0.405749772,0.601457213,0.601457213,0.458143144,0,0.147949939,0.147949939,0.147949939,0.169140588,0.311664427,0.095920528,0.13873616,0.207576261,0.792423739,0.095884834,0.137757334,0.392912869,0.672775292,0.004094406,0.14730845,0.334015171,0.903224771,0.064855708,0.520381918,0.118250477,0.716845343,0.60145329,0.016468741
1,0.464290937,0.53821413,0.516730018,0.610235086,0.610235086,0.461867257,0,0.182251064,0.182251064,0.182251064,0.208943935,0.318136804,0.09372201,0.169917903,0.171176346,0.828823654,0.093743384,0.168961617,0.391589969,0.751110917,0.014947727,0.056962827,0.341105992,0.931065218,0.02551586,0.567101309,0.047775282,0.795297136,0.610236526,0.020794306
1,0.426071272,0.499018753,0.472295091,0.601450006,0.601363525,0.458520587,0,0.17791075,0.17791075,0.193712865,0.180580505,0.307101931,0.092337758,0.142803344,0.207515796,0.792484204,0.092318465,0.148035593,0.381967843,0.829501915,0.000990944,0.098162065,0.336731495,0.909903362,0.021387428,0.53849054,0.025346489,0.774669697,0.60144934,0.016474114
1,0.399844001,0.451264719,0.457733283,0.583541129,0.583541129,0.465705443,0,0.154186507,0.154186507,0.154186507,0.193722227,0.321673622,0.077762397,0.148602847,0.151464764,0.848535236,0.077727295,0.147560516,0.378496642,0.72575418,0.018850625,0.09871463,0.348716439,0.906902159,0.02416107,0.604105056,0.067249617,0.739554525,0.583537612,0.023982332
1,0.465022181,0.538432185,0.522297768,0.598783494,0.598783494,0.462746282,0,0.167502423,0.167502423,0.167502423,0.212536636,0.319162481,0.096897647,0.168411539,0.106509055,0.893490945,0.09692706,0.167460976,0.394371452,0.751822452,0.014160974,0.110194846,0.344638754,0.913850197,0.026385246,0.578468903,0.047725372,0.795015873,0.59878151,0.035490201
1,0.388680349,0.415176625,0.419133787,0.590171378,0.590250652,0.465861453,0,0.155577093,0.155577093,0.155577093,0.174435095,0.325387282,0.078088104,0.138811478,0.180427487,0.819572513,0.078101845,0.137825202,0.377569481,0.686728646,0.002645226,0.139002106,0.350563147,0.903041267,0.040093622,0.622190123,0.099521933,0.710420495,0.590172327,0.019534478
0,0.390922829,0.445704317,0.436158253,0.619949841,0.619949841,0.461020105,0,0.158821794,0.158821794,0.158821794,0.161482462,0.316686709,0.099910431,0.128944792,0.216101823,0.783898177,0.099866465,0.127939069,0.393172927,0.729416462,0.022988598,0.115920412,0.340080537,0.911441408,0.092802307,0.560653,0.060765125,0.736619098,0.619948867,0.015663075
0,0.508360552,0.570922372,0.559077038,0.601738278,0.601716658,0.46702398,0.157607045,0.176983692,0.176983692,0.176983692,0.225205635,0.324114027,0.104796026,0.180462454,0.108202074,0.891797926,0.104784471,0.17951889,0.396463219,0.797005214,0.014615913,0.087041801,0.353510615,0.935449309,0.025482153,0.610090812,0.030201105,0.815350392,0.60173934,0.034888556
0,0.488519475,0.545137375,0.543283902,0.603612044,0.603612044,0.463142179,0.00587104,0.184189457,0.184189457,0.184189457,0.218398412,0.318773431,0.095187688,0.173156587,0.058590561,0.941409439,0.095209015,0.172158962,0.391940481,0.813737523,0.145189218,0.058059728,0.345440819,0.935200209,0.029884061,0.574032785,0.021710461,0.80364729,0.603613451,0.065826497
0,0.495685663,0.550915831,0.542962685,0.599208694,0.599208694,0.470575308,0.392448628,0.177447221,0.177447221,0.177447221,0.217831143,0.330161986,0.109844475,0.176621225,0.121292741,0.878707259,0.109873467,0.175657944,0.396372764,0.825695871,0.008772791,0.094563303,0.36104354,0.938289897,0.035891062,0.645146286,0.025494302,0.804194657,0.599205074,0.030800865
